0.867819,0.49688,0,0,-0.49688,0.867819,0,0,0,0,1,0,0,0,0,1|-1.3428e-06,-4.9402e-06,1,0,-0.867819,-0.49688,-3.61999e-06,0,0.49688,-0.867819,-3.61999e-06,0,0,0,0,1|-1.3428e-06,-4.9402e-06,1,0,0.496883,-0.867817,-3.61998e-06,0,0.867817,0.496883,3.62e-06,0,0,0,0,1|-1.3428e-06,-4.9402e-06,1,0,0.496883,-0.867817,-3.61998e-06,0,0.867817,0.496883,3.62e-06,0,0.216954,0.124221,9.05001e-07,1|-1.3428e-06,-4.9402e-06,1,0,0.867815,0.496886,3.62002e-06,0,-0.496886,0.867815,3.61996e-06,0,0.216954,0.124221,9.05001e-07,1|-1.3428e-06,-4.9402e-06,1,0,0.867815,0.496886,3.62002e-06,0,-0.496886,0.867815,3.61996e-06,0,0.0927327,0.341175,1.80999e-06,1||
0.380925,0.924606,0,0,-0.924606,0.380925,0,0,0,0,1,0,0,0,0,1|1.96812e-06,-4.72601e-06,1,0,-0.380925,-0.924606,-3.61999e-06,0,0.924606,-0.380925,-3.61999e-06,0,0,0,0,1|1.96812e-06,-4.72601e-06,1,0,0.924607,-0.380922,-3.61998e-06,0,0.380922,0.924607,3.62e-06,0,0,0,0,1|1.96812e-06,-4.72601e-06,1,0,0.924607,-0.380922,-3.61998e-06,0,0.380922,0.924607,3.62e-06,0,0.0952305,0.231152,9.05001e-07,1|1.96812e-06,-4.72601e-06,1,0,0.380919,0.924608,3.62002e-06,0,-0.924608,0.380919,3.61996e-06,0,0.0952305,0.231152,9.05001e-07,1|1.96812e-06,-4.72601e-06,1,0,0.380919,0.924608,3.62002e-06,0,-0.924608,0.380919,3.61996e-06,0,-0.135922,0.326381,1.80999e-06,1||
0.380925,0.924606,0,0,-0.924606,0.380925,0,0,0,0,1,0,0,0,0,1|-0.245397,-0.595651,0.76484,0,-0.291349,-0.707174,-0.64422,0,0.924606,-0.380925,-3.61999e-06,0,0,0,0,1|-0.245397,-0.595651,0.76484,0,0.924607,-0.380923,-1.28792e-06,0,0.291346,0.707176,0.64422,0,0,0,0,1|-0.245397,-0.595651,0.76484,0,0.924607,-0.380923,-1.28792e-06,0,0.291346,0.707176,0.64422,0,0.0728364,0.176794,0.161055,1|-0.245397,-0.595651,0.76484,0,0.291342,0.707177,0.64422,0,-0.924608,0.38092,-1.04415e-06,0,0.0728364,0.176794,0.161055,1|-0.245397,-0.595651,0.76484,0,0.291342,0.707177,0.64422,0,-0.924608,0.38092,-1.04415e-06,0,-0.158316,0.272024,0.161055,1||
0.380925,0.924606,0,0,-0.924606,0.380925,0,0,0,0,1,0,0,0,0,1|-0.245397,-0.595651,0.76484,0,-0.291349,-0.707174,-0.64422,0,0.924606,-0.380925,-3.61999e-06,0,0,0,0,1|0.390572,-0.702683,0.594718,0,0.873253,0.0783459,-0.480927,0,0.291346,0.707176,0.64422,0,0,0,0,1|0.390572,-0.702683,0.594718,0,0.873253,0.0783459,-0.480927,0,0.291346,0.707176,0.64422,0,0.0728364,0.176794,0.161055,1|0.390572,-0.702683,0.594718,0,0.291342,0.707175,0.644222,0,-0.873254,-0.0783485,0.480925,0,0.0728364,0.176794,0.161055,1|0.390572,-0.702683,0.594718,0,0.291342,0.707175,0.644222,0,-0.873254,-0.0783485,0.480925,0,-0.145477,0.157207,0.281286,1||
0.380925,0.924606,0,0,-0.924606,0.380925,0,0,0,0,1,0,0,0,0,1|-0.245397,-0.595651,0.76484,0,-0.291349,-0.707174,-0.64422,0,0.924606,-0.380925,-3.61999e-06,0,0,0,0,1|0.945844,-0.313736,-0.0833579,0,0.143167,0.633618,-0.760284,0,0.291346,0.707176,0.64422,0,0,0,0,1|0.945844,-0.313736,-0.0833579,0,0.143167,0.633618,-0.760284,0,0.291346,0.707176,0.64422,0,0.0728364,0.176794,0.161055,1|0.945844,-0.313736,-0.0833579,0,0.291345,0.707174,0.644223,0,-0.143168,-0.633621,0.760281,0,0.0728364,0.176794,0.161055,1|0.945844,-0.313736,-0.0833579,0,0.291345,0.707174,0.644223,0,-0.143168,-0.633621,0.760281,0,0.0370445,0.0183888,0.351125,1||
0.380925,0.924606,0,0,-0.924606,0.380925,0,0,0,0,1,0,0,0,0,1|-0.380763,-0.924211,-0.0292022,0,0.0111205,0.0270019,-0.999574,0,0.924606,-0.380925,-3.61999e-06,0,0,0,0,1|0.960596,-0.27793,0.00318262,0,0.277726,0.960221,0.0290283,0,-0.0111239,-0.0270005,0.999574,0,0,0,0,1|0.960596,-0.27793,0.00318262,0,0.277726,0.960221,0.0290283,0,-0.0111239,-0.0270005,0.999574,0,-0.00278097,-0.00675013,0.249893,1|0.960596,-0.27793,0.00318262,0,-0.0111249,-0.027004,0.999573,0,-0.277726,-0.960221,-0.0290319,0,-0.00278097,-0.00675013,0.249893,1|0.960596,-0.27793,0.00318262,0,-0.0111249,-0.027004,0.999573,0,-0.277726,-0.960221,-0.0290319,0,-0.0722125,-0.246805,0.242635,1||
-0.666275,0.745706,0,0,-0.745706,-0.666275,0,0,0,0,1,0,0,0,0,1|0.665991,-0.745388,-0.0292022,0,-0.0194594,0.0217739,-0.999574,0,0.745706,0.666275,-3.61999e-06,0,0,0,0,1|0.668681,0.743543,0.00318262,0,-0.743295,0.668334,0.0290283,0,0.0194567,-0.0217763,0.999574,0,0,0,0,1|0.668681,0.743543,0.00318262,0,-0.743295,0.668334,0.0290283,0,0.0194567,-0.0217763,0.999574,0,0.00486417,-0.00544407,0.249893,1|0.668681,0.743543,0.00318262,0,0.0194594,-0.0217787,0.999573,0,0.743295,-0.668333,-0.0290319,0,0.00486417,-0.00544407,0.249893,1|0.668681,0.743543,0.00318262,0,0.0194594,-0.0217787,0.999573,0,0.743295,-0.668333,-0.0290319,0,0.190688,-0.172527,0.242635,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|0.990015,0.137905,-0.0292022,0,-0.0289225,-0.00403242,-0.999573,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|-0.245039,0.969508,0.00318262,0,-0.969082,-0.245027,0.0290283,0,0.028923,0.00402884,0.999573,0,0,0,0,1|-0.245039,0.969508,0.00318262,0,-0.969082,-0.245027,0.0290283,0,0.028923,0.00402884,0.999573,0,0.00723074,0.00100721,0.249893,1|-0.245039,0.969508,0.00318262,0,0.0289265,0.00402972,0.999573,0,0.969081,0.245027,-0.0290319,0,0.00723074,0.00100721,0.249893,1|-0.245039,0.969508,0.00318262,0,0.0289265,0.00402972,0.999573,0,0.969081,0.245027,-0.0290319,0,0.249501,0.0622639,0.242635,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|0.608498,0.0847581,-0.789016,0,-0.781471,-0.108858,-0.614373,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|-0.203456,0.975301,0.0859901,0,-0.589838,-0.192197,0.784316,0,0.781471,0.108854,0.614373,0,0,0,0,1|-0.203456,0.975301,0.0859901,0,-0.589838,-0.192197,0.784316,0,0.781471,0.108854,0.614373,0,0.195368,0.0272135,0.153593,1|-0.203456,0.975301,0.0859901,0,0.781473,0.108855,0.61437,0,0.589835,0.192196,-0.784318,0,0.195368,0.0272135,0.153593,1|-0.203456,0.975301,0.0859901,0,0.781473,0.108855,0.61437,0,0.589835,0.192196,-0.784318,0,0.342826,0.0752626,-0.0424864,1||
-0.990437,-0.137963,0,0,0.137963,-0.990437,0,0,0,0,1,0,0,0,0,1|-0.175766,-0.024487,-0.984127,0,-0.974716,-0.135773,0.177464,0,-0.137963,0.990437,-3.61999e-06,0,0,0,0,1|-0.117982,0.987207,0.107252,0,0.189755,-0.0836024,0.978266,0,0.974717,0.135769,-0.177464,0,0,0,0,1|-0.117982,0.987207,0.107252,0,0.189755,-0.0836024,0.978266,0,0.974717,0.135769,-0.177464,0,0.243679,0.0339423,-0.0443659,1|-0.117982,0.987207,0.107252,0,0.974716,0.13577,-0.177467,0,-0.189758,0.083602,-0.978265,0,0.243679,0.0339423,-0.0443659,1|-0.117982,0.987207,0.107252,0,0.974716,0.13577,-0.177467,0,-0.189758,0.083602,-0.978265,0,0.19624,0.0548428,-0.288932,1||
